Date_of_report,Municipality_code,Municipality_name,Province,Total_reported,Hospital_admission,Deceased
2020-09-14 10:00:00,GM0003,Appingedam,Groningen,9,3,0
2020-09-14 10:00:00,GM0010,Delfzijl,Groningen,66,6,0
2020-09-14 10:00:00,GM0014,Groningen,Groningen,453,18,3
2020-09-14 10:00:00,GM0024,Loppersum,Groningen,4,0,0
2020-09-14 10:00:00,GM0034,Almere,Flevoland,942,132,34
2020-09-14 10:00:00,GM0037,Stadskanaal,Groningen,15,2,2
2020-09-14 10:00:00,GM0047,Veendam,Groningen,30,2,1
2020-09-14 10:00:00,GM0050,Zeewolde,Flevoland,67,12,6
2020-09-14 10:00:00,GM0059,Achtkarspelen,Friesland,23,0,0
2020-09-14 10:00:00,GM0060,Ameland,Friesland,0,0,0
2020-09-14 10:00:00,GM0072,Harlingen,Friesland,22,4,1
2020-09-14 10:00:00,GM0074,Heerenveen,Friesland,115,13,21
2020-09-14 10:00:00,GM0080,Leeuwarden,Friesland,145,34,6
2020-09-14 10:00:00,GM0085,Ooststellingwerf,Friesland,10,3,0
2020-09-14 10:00:00,GM0086,Opsterland,Friesland,29,7,0
2020-09-14 10:00:00,GM0088,Schiermonnikoog,Friesland,0,0,0
2020-09-14 10:00:00,GM0090,Smallingerland,Friesland,67,9,5
2020-09-14 10:00:00,GM0093,Terschelling,Friesland,2,0,0
2020-09-14 10:00:00,GM0096,Vlieland,Friesland,0,0,0
2020-09-14 10:00:00,GM0098,Weststellingwerf,Friesland,31,3,4
2020-09-14 10:00:00,GM0106,Assen,Drenthe,74,12,2
2020-09-14 10:00:00,GM0109,Coevorden,Drenthe,63,13,2
2020-09-14 10:00:00,GM0114,Emmen,Drenthe,130,20,11
2020-09-14 10:00:00,GM0118,Hoogeveen,Drenthe,106,19,8
2020-09-14 10:00:00,GM0119,Meppel,Drenthe,56,11,5
2020-09-14 10:00:00,GM0141,Almelo,Overijssel,128,23,10
2020-09-14 10:00:00,GM0147,Borne,Overijssel,55,14,6
2020-09-14 10:00:00,GM0148,Dalfsen,Overijssel,95,16,6
2020-09-14 10:00:00,GM0150,Deventer,Overijssel,417,48,33
2020-09-14 10:00:00,GM0153,Enschede,Overijssel,393,57,26
2020-09-14 10:00:00,GM0158,Haaksbergen,Overijssel,69,14,7
2020-09-14 10:00:00,GM0160,Hardenberg,Overijssel,189,23,8
2020-09-14 10:00:00,GM0163,Hellendoorn,Overijssel,99,8,12
2020-09-14 10:00:00,GM0164,Hengelo,Overijssel,181,24,19
2020-09-14 10:00:00,GM0166,Kampen,Overijssel,382,59,27
2020-09-14 10:00:00,GM0168,Losser,Overijssel,38,7,0
2020-09-14 10:00:00,GM0171,Noordoostpolder,Flevoland,94,14,10
2020-09-14 10:00:00,GM0173,Oldenzaal,Overijssel,74,13,7
2020-09-14 10:00:00,GM0175,Ommen,Overijssel,72,9,2
