Datum,OpgenomenCumulatief
2020-02-27,7
2020-02-28,8
2020-02-29,9
2020-03-01,11
2020-03-02,11
2020-03-03,13
2020-03-04,16
2020-03-05,18
2020-03-06,22
2020-03-07,25
2020-03-08,31
2020-03-09,38
2020-03-10,47
2020-03-11,57
2020-03-12,80
2020-03-13,94
2020-03-14,112
2020-03-15,140
2020-03-16,173
2020-03-17,209
2020-03-18,263
2020-03-19,327
2020-03-20,414
2020-03-21,495
2020-03-22,569
2020-03-23,669
2020-03-24,781
2020-03-25,900
2020-03-26,1012
2020-03-27,1130
2020-03-28,1235
2020-03-29,1328
2020-03-30,1461
2020-03-31,1571
2020-04-01,1645
2020-04-02,1743
2020-04-03,1822
2020-04-04,1887
2020-04-05,1962
2020-04-06,2024
2020-04-07,2082
2020-04-08,2141
2020-04-09,2192
2020-04-10,2241
2020-04-11,2270
2020-04-12,2305
2020-04-13,2351
2020-04-14,2387
2020-04-15,2411
2020-04-16,2440
2020-04-17,2466
2020-04-18,2484
2020-04-19,2504
2020-04-20,2531
2020-04-21,2553
2020-04-22,2568
2020-04-23,2584
2020-04-24,2603
2020-04-25,2617
2020-04-26,2630
2020-04-27,2644
2020-04-28,2659
2020-04-29,2671
2020-04-30,2689
2020-05-01,2698
2020-05-02,2707
2020-05-03,2718
2020-05-04,2730
2020-05-05,2733
2020-05-06,2739
2020-05-07,2749
2020-05-08,2756
2020-05-09,2761
2020-05-10,2766
2020-05-11,2774
2020-05-12,2776
2020-05-13,2780
2020-05-14,2790
2020-05-15,2794
2020-05-16,2803
2020-05-17,2808
2020-05-18,2812
2020-05-19,2814
2020-05-20,2817
2020-05-21,2819
2020-05-22,2824
2020-05-23,2827
2020-05-24,2834
2020-05-25,2835
2020-05-26,2839
2020-05-27,2843
2020-05-28,2844
2020-05-29,2847
2020-05-30,2849
2020-05-31,2852
2020-06-01,2856
2020-06-02,2857
2020-06-03,2862
2020-06-04,2867
2020-06-05,2870
2020-06-06,2872
2020-06-07,2875
2020-06-08,2877
2020-06-09,2879
2020-06-10,2881
2020-06-11,2882
2020-06-12,2885
2020-06-13,2887
2020-06-14,2887
2020-06-15,2888
2020-06-16,2890
2020-06-17,2890
2020-06-18,2891
2020-06-19,2892
2020-06-20,2894
2020-06-21,2894
2020-06-22,2898
2020-06-23,2899
2020-06-24,2901
2020-06-25,2902
2020-06-26,2902
2020-06-27,2902
2020-06-28,2902
2020-06-29,2902
2020-06-30,2904
2020-07-01,2904
2020-07-02,2906
2020-07-03,2906
2020-07-04,2907
2020-07-05,2907
2020-07-06,2907
2020-07-07,2908
2020-07-08,2910
2020-07-09,2911
2020-07-10,2913
2020-07-11,2913
2020-07-12,2914
2020-07-13,2914
2020-07-14,2914
2020-07-15,2915
2020-07-16,2916
2020-07-17,2916
2020-07-18,2916
2020-07-19,2917
2020-07-20,2917
2020-07-21,2919
2020-07-22,2920
2020-07-23,2921
2020-07-24,2923
2020-07-25,2924
2020-07-26,2926
2020-07-27,2930
2020-07-28,2930
2020-07-29,2930
2020-07-30,2933
2020-07-31,2937
2020-08-01,2939
2020-08-02,2941
2020-08-03,2945
2020-08-04,2948
2020-08-05,2950
2020-08-06,2952
2020-08-07,2953
2020-08-08,2954
2020-08-09,2959
2020-08-10,2963
2020-08-11,2967
2020-08-12,2971
2020-08-13,2975
2020-08-14,2983
2020-08-15,2985
2020-08-16,2991
2020-08-17,3000
2020-08-18,3003
2020-08-19,3005
