Datum,Opgenomen
2020-02-27,6
2020-02-28,6
2020-02-29,7
2020-03-01,9
2020-03-02,9
2020-03-03,10
2020-03-04,13
2020-03-05,14
2020-03-06,17
2020-03-07,19
2020-03-08,25
2020-03-09,32
2020-03-10,39
2020-03-11,49
2020-03-12,70
2020-03-13,80
2020-03-14,98
2020-03-15,122
2020-03-16,152
2020-03-17,180
2020-03-18,230
2020-03-19,291
2020-03-20,367
2020-03-21,433
2020-03-22,483
2020-03-23,576
2020-03-24,658
2020-03-25,756
2020-03-26,840
2020-03-27,928
2020-03-28,996
2020-03-29,1045
2020-03-30,1134
2020-03-31,1193
2020-04-01,1210
2020-04-02,1255
2020-04-03,1284
2020-04-04,1288
2020-04-05,1307
2020-04-06,1317
2020-04-07,1326
2020-04-08,1295
2020-04-09,1293
2020-04-10,1306
2020-04-11,1268
2020-04-12,1249
2020-04-13,1235
2020-04-14,1212
2020-04-15,1187
2020-04-16,1152
2020-04-17,1124
2020-04-18,1077
2020-04-19,1053
2020-04-20,1035
2020-04-21,1001
2020-04-22,941
2020-04-23,905
2020-04-24,888
2020-04-25,853
