Datum,IntensiveCare
2020-02-27,8
2020-02-28,9
2020-02-29,8
2020-03-01,9
2020-03-02,8
2020-03-03,8
2020-03-04,10
2020-03-05,12
2020-03-06,15
2020-03-07,16
2020-03-08,20
2020-03-09,22
2020-03-10,24
2020-03-11,25
2020-03-12,31
2020-03-13,34
2020-03-14,43
2020-03-15,50
2020-03-16,56
2020-03-17,60
2020-03-18,63
2020-03-19,70
2020-03-20,71
2020-03-21,71
2020-03-22,71
2020-03-23,71
2020-03-24,73
2020-03-25,74
2020-03-26,74
2020-03-27,74
2020-03-28,74
2020-03-29,74
2020-03-30,74
2020-03-31,74
2020-04-01,75
2020-04-02,75
2020-04-03,75
2020-04-04,74
2020-04-05,75
2020-04-06,75
2020-04-07,76
2020-04-08,76
2020-04-09,76
2020-04-10,75
2020-04-11,75
2020-04-12,75
2020-04-13,75
2020-04-14,76
2020-04-15,76
2020-04-16,76
2020-04-17,77
2020-04-18,76
2020-04-19,76
2020-04-20,76
2020-04-21,76
2020-04-22,77
2020-04-23,77
2020-04-24,76
2020-04-25,76
2020-04-26,76
2020-04-27,76
2020-04-28,76
2020-04-29,76
2020-04-30,76
2020-05-01,76
2020-05-02,76
2020-05-03,76
2020-05-04,76
2020-05-05,76
2020-05-06,73
2020-05-07,72
2020-05-08,72
2020-05-09,72
2020-05-10,72
2020-05-11,73
2020-05-12,71
2020-05-13,71
2020-05-14,71
2020-05-15,71
2020-05-16,70
2020-05-17,70
2020-05-18,70
2020-05-19,67
2020-05-20,66
2020-05-21,66
2020-05-22,66
2020-05-23,64
2020-05-24,64
2020-05-25,63
2020-05-26,64
2020-05-27,60
2020-05-28,59
2020-05-29,58
2020-05-30,56
2020-05-31,56
2020-06-01,56
2020-06-02,56
2020-06-03,52
2020-06-04,54
2020-06-05,52
2020-06-06,52
2020-06-07,51
2020-06-08,51
2020-06-09,50
2020-06-10,50
2020-06-11,50
2020-06-12,48
2020-06-13,47
2020-06-14,46
2020-06-15,46
2020-06-16,45
2020-06-17,43
2020-06-18,42
2020-06-19,41
2020-06-20,41
2020-06-21,39
2020-06-22,41
2020-06-23,38
2020-06-24,37
2020-06-25,35
2020-06-26,32
2020-06-27,30
2020-06-28,29
2020-06-29,29
2020-06-30,29
2020-07-01,26
2020-07-02,29
2020-07-03,28
2020-07-04,28
2020-07-05,26
2020-07-06,26
2020-07-07,24
2020-07-08,24
2020-07-09,23
2020-07-10,23
2020-07-11,21
2020-07-12,21
2020-07-13,22
2020-07-14,22
2020-07-15,21
2020-07-16,21
2020-07-17,20
2020-07-18,20
2020-07-19,20
2020-07-20,21
2020-07-21,22
2020-07-22,23
2020-07-23,22
2020-07-24,21
2020-07-25,20
2020-07-26,20
2020-07-27,23
2020-07-28,22
2020-07-29,21
2020-07-30,22
2020-07-31,24
2020-08-01,24
2020-08-02,25
2020-08-03,26
2020-08-04,27
2020-08-05,26
2020-08-06,27
2020-08-07,26
2020-08-08,27
2020-08-09,31
2020-08-10,32
2020-08-11,32
2020-08-12,31
2020-08-13,32
2020-08-14,34
2020-08-15,33
2020-08-16,34
2020-08-17,37
2020-08-18,37
2020-08-19,35
2020-08-20,37
2020-08-21,37
2020-08-22,35
2020-08-23,37
2020-08-24,38
2020-08-25,33
2020-08-26,33
2020-08-27,33
2020-08-28,34
2020-08-29,34
2020-08-30,36
2020-08-31,35
2020-09-01,35
2020-09-02,34
2020-09-03,31
2020-09-04,33
2020-09-05,33
2020-09-06,35
2020-09-07,34
2020-09-08,32
2020-09-09,32
2020-09-10,32
2020-09-11,34
2020-09-12,35
2020-09-13,36
2020-09-14,38
2020-09-15,38
2020-09-16,39
2020-09-17,40
2020-09-18,41
2020-09-19,45
2020-09-20,46
2020-09-21,47
2020-09-22,50
2020-09-23,52
2020-09-24,56
2020-09-25,57
2020-09-26,59
2020-09-27,59
2020-09-28,61
2020-09-29,62
2020-09-30,62
2020-10-01,64
2020-10-02,63
2020-10-03,67
2020-10-04,68
2020-10-05,66
2020-10-06,68
2020-10-07,68
2020-10-08,68
2020-10-09,69
2020-10-10,69
2020-10-11,68
2020-10-12,68
2020-10-13,72
2020-10-14,73
2020-10-15,73
2020-10-16,74
2020-10-17,75
2020-10-18,74
2020-10-19,75
2020-10-20,74
2020-10-21,75
2020-10-22,74
2020-10-23,74
2020-10-24,74
2020-10-25,73
2020-10-26,75
2020-10-27,76
2020-10-28,76
2020-10-29,76
2020-10-30,74
2020-10-31,75
2020-11-01,77
2020-11-02,77
2020-11-03,77
2020-11-04,76
2020-11-05,76
2020-11-06,76
2020-11-07,76
2020-11-08,76
2020-11-09,77
2020-11-10,77
2020-11-11,77
2020-11-12,77
2020-11-13,77
2020-11-14,77
2020-11-15,76
2020-11-16,76
2020-11-17,76
2020-11-18,76
2020-11-19,76
2020-11-20,76
2020-11-21,76
2020-11-22,76
2020-11-23,76
2020-11-24,76
2020-11-25,77
2020-11-26,76
2020-11-27,75
2020-11-28,75
2020-11-29,75
2020-11-30,75
2020-12-01,75
2020-12-02,75
2020-12-03,75
2020-12-04,76
2020-12-05,76
2020-12-06,76
2020-12-07,75
2020-12-08,75
2020-12-09,76
2020-12-10,76
2020-12-11,76
